Term,PosScore,NegScore
rare,0.0,0.875
avirulent,0.0,0.875
nonadhesive,0.0,0.75
ungummed,0.0,0.75
acrophobic,0.0,0.75
agoraphobic,0.0,0.75
algophobic,0.0,0.875
claustrophobic,0.0,0.75
mysophobic,0.0,0.75
xenophobic,0.0,0.75
unagitated,0.0,0.75
malapropos,0.25,0.75
aphasic,0.0,0.75
thunderous,0.125,0.875
unconscious,0.0,0.75
unstratified,0.0,0.75
fugly,0.0,0.75
unbanded,0.0,0.75
maleficent,0.0,0.75
venomed,0.125,0.75
vixenish,0.0,0.875
uncompartmented,0.0,0.75
slate-black,0.0,0.75
augean,0.222,0.778
dirty-faced,0.0,0.75
smudgy,0.0,0.75
unswept,0.0,0.75
unwashed,0.0,0.75
uncousinly,0.0,0.75
fogbound,0.0,0.75
unpublishable,0.25,0.75
comfortless,0.0,0.875
uncommercial,0.0,0.75
unworkmanlike,0.25,0.75
noncompetitive,0.0,0.75
uncommitted,0.0,0.75
unconquerable,0.125,0.75
ravaging,0.0,0.75
unchallengeable,0.0,0.75
unargumentative,0.0,0.75
noncontentious,0.0,0.75
inconvenient,0.125,0.75
unconventional,0.0,0.75
conformist,0.0,0.75
unpersuasive,0.0,0.75
raw,0.0,0.75
untoasted,0.0,0.75
putrid,0.3,0.7
antiphlogistic,0.0,0.75
wrongheaded,0.25,0.75
uncorrected,0.0,0.75
unremedied,0.0,0.75
constipated,0.0,0.75
overcredulous,0.0,0.75
censorious,0.0,0.875
uncritical,0.0,0.75
noncurrent,0.0,0.75
knocked-out,0.0,0.875
storm-beaten,0.0,0.75
undatable,0.0,0.75
undeclared,0.0,0.75
indefeasible,0.0,0.75
nonresistant,0.0,0.75
infrangible,0.0,0.75
peremptory,0.0,0.75
undemonstrative,0.0,0.75
undeniable,0.0,0.875
dependent,0.0,0.75
undescriptive,0.125,0.75
undiplomatic,0.0,0.75
alienating,0.0,0.75
indirect,0.0,0.75
promiscuous,0.0,0.75
unselective,0.125,0.75
indistinct,0.25,0.75
indiscrete,0.0,0.75
untheatrical,0.0,0.75
uneducated,0.25,0.75
sisyphean,0.0,0.75
unemployable,0.0,0.75
unburdened,0.0,0.75
unexportable,0.25,0.75
remittent,0.125,0.75
nostalgic,0.0,0.75
homesick,0.0,0.75
unquestionable,0.0,0.75
patchy,0.0,0.75
unparallel,0.0,0.875
unexchangeable,0.25,0.75
nonextant,0.0,0.75
unexpendable,0.25,0.75
fingerless,0.0,0.75
inextinguishable,0.0,0.875
unfastidious,0.0,0.75
blubbery,0.125,0.75
infelicitous,0.0,0.75
unhewn,0.0,0.75
unsuitable,0.0,0.75
adventive,0.0,0.75
abject,0.0,1.0
niffy,0.0,0.75
putrid-smelling,0.3,0.7
unfree,0.0,0.75
addled,0.0,0.75
day-old,0.0,0.875
unfruitful,0.0,0.75
sperm-filled,0.0,0.75
nonfunctional,0.0,0.75
nonproprietary,0.0,0.75
base,0.0,0.875
pseudo,0.0,0.75
synthetic,0.125,0.875
no-go,0.0,0.75
ill,0.0,0.875
swingeing,0.0,0.875
uncool,0.0,0.875
unsuitable,0.222,0.778
evil-minded,0.0,0.75
churlish,0.0,0.875
churlish,0.25,0.75
fulminant,0.0,0.75
appreciative,0.25,0.75
unappreciative,0.0,0.75
ill,0.0,0.75
bloodshot,0.0,0.75
caseous,0.0,0.75
inflamed,0.0,0.875
sore-eyed,0.0,0.75
varicose,0.0,0.875
light-duty,0.0,0.75
low-level,0.0,0.75
nonimitative,0.0,0.75
yellow,0.0,0.75
insoluble,0.0,0.75
torrid,0.0,0.75
stygian,0.0,0.75
undesigned,0.0,0.75
