POS,PosScore,NegScore,SynsetTerms,CorrectLabel
a,0.0,0.75,unable,-1
a,0.0,0.875,rare,-1
a,0.0,0.75,battered,-1
a,0.0,0.75,unaccustomed,-1
a,0.0,0.875,avirulent,-1
a,0.0,0.75,nonadhesive,-1
a,0.0,0.75,ungummed,-1
a,0.0,0.75,negative,-1
a,0.125,0.875,dismissive,-1
a,0.0,0.75,acrophobic,-1
a,0.0,0.75,agoraphobic,-1
a,0.0,0.875,algophobic,-1
a,0.0,0.75,claustrophobic,-1
a,0.0,0.75,mysophobic,-1
a,0.0,0.75,numb,-1
a,0.0,0.75,xenophobic,-1
a,0.0,0.75,unagitated,-1
a,0.125,0.875,disagreeable,-1
a,0.0,0.75,dead,-1
a,0.0,0.75,lifeless,-1
a,0.0,0.875,resentful,-1
a,0.125,0.75,inappropriate,-1
a,0.25,0.75,malapropos,-1
a,0.0,0.75,aphasic,-1
a,0.0,0.75,ashamed,-1
a,0.125,0.875,thunderous,-1
a,0.0,0.75,unconstitutional,-1
a,0.0,0.75,unconscious,-1
a,0.0,0.75,unstratified,-1
a,0.0,0.75,fugly,-1
a,0.0,0.75,unbanded,-1
a,0.0,0.75,maleficent,-1
a,0.0,0.875,malevolent,-1
a,0.125,0.75,venomed,-1
a,0.0,0.875,vixenish,-1
a,0.25,0.75,worst,-1
a,0.0,0.75,worse,-1
a,0.0,0.75,stormy,-1
a,0.0,0.75,dirty,-1
a,0.0,0.75,incapable,-1
a,0.0,0.75,uncompartmented,-1
a,0.0,0.75,slate-black,-1
a,0.222,0.778,augean,-1
a,0.0,0.75,dirty-faced,-1
a,0.0,0.75,smudgy,-1
a,0.0,0.75,unswept,-1
a,0.0,0.75,unwashed,-1
a,0.25,0.75,dirty,-1
a,0.0,0.75,confused,-1
a,0.0,0.75,inclement,-1
a,0.0,0.75,stupid,-1
a,0.0,0.75,uncousinly,-1
a,0.0,0.75,fogbound,-1
a,0.25,0.75,unpublishable,-1
a,0.0,0.875,comfortless,-1
a,0.0,0.75,uncomfortable,-1
a,0.0,0.75,uncommercial,-1
a,0.25,0.75,unworkmanlike,-1
a,0.0,0.75,noncompetitive,-1
a,0.0,0.75,uncompetitive,-1
a,0.0,0.75,uncommitted,-1
a,0.0,0.75,afraid,-1
a,0.0,0.75,confined,-1
a,0.125,0.75,unconquerable,-1
a,0.25,0.75,indiscernible,-1
a,0.0,0.75,ravaging,-1
a,0.0,0.75,unchallengeable,-1
