POS,PosScore,NegScore,SynsetTerms,CorrectLabel,hindi
a,0.0,0.75,unable,-1,असमर्थ
a,0.0,0.875,rare,-1,दुर्लभ
a,0.0,0.75,battered,-1,चकनाचूर
a,0.0,0.75,unaccustomed,-1,अनभ्यस्त
a,0.0,0.875,avirulent,-1,असंक्रामक
a,0.0,0.75,nonadhesive,-1,nonadhesive
a,0.0,0.75,ungummed,-1,वह गर्भवती है
a,0.0,0.75,negative,-1,नकारात्मक
a,0.125,0.875,dismissive,-1,खारिज
a,0.0,0.75,acrophobic,-1,acrophobic
a,0.0,0.75,agoraphobic,-1,एगोराफोबिक
a,0.0,0.875,algophobic,-1,algophobic
a,0.0,0.75,claustrophobic,-1,क्लॉस्टेरोफोबिया
a,0.0,0.75,mysophobic,-1,mysophobic
a,0.0,0.75,numb,-1,सुन्न
a,0.0,0.75,xenophobic,-1,ज़नोफोबिक
a,0.0,0.75,unagitated,-1,unagitated
a,0.125,0.875,disagreeable,-1,अप्रिय
a,0.0,0.75,dead,-1,मृत
a,0.0,0.75,lifeless,-1,निष्प्राण
a,0.0,0.875,resentful,-1,क्रोधित
a,0.125,0.75,inappropriate,-1,अनुचित
a,0.25,0.75,malapropos,-1,कुसमय
a,0.0,0.75,aphasic,-1,वाक्यरोध संबंधी
a,0.0,0.75,ashamed,-1,शर्मिंदा
a,0.125,0.875,thunderous,-1,गरजनदार
a,0.0,0.75,unconstitutional,-1,असंवैधानिक
a,0.0,0.75,unconscious,-1,बेहोश
a,0.0,0.75,unstratified,-1,unstratified
a,0.0,0.75,fugly,-1,fugly
a,0.0,0.75,unbanded,-1,unbanded
a,0.0,0.75,maleficent,-1,नुक़सानदेह
a,0.0,0.875,malevolent,-1,द्रोही
a,0.125,0.75,venomed,-1,venomed
a,0.0,0.875,vixenish,-1,झगड़ालू
a,0.25,0.75,worst,-1,सबसे खराब
a,0.0,0.75,worse,-1,और भी बुरा
a,0.0,0.75,stormy,-1,तूफ़ानी
a,0.0,0.75,dirty,-1,गंदा
a,0.0,0.75,incapable,-1,असमर्थ
a,0.0,0.75,uncompartmented,-1,uncompartmented
a,0.0,0.75,slate-black,-1,स्लेट काला
a,0.222,0.778,augean,-1,Augean
a,0.0,0.75,dirty-faced,-1,गंदे का सामना करना पड़ा
a,0.0,0.75,smudgy,-1,मैला
a,0.0,0.75,unswept,-1,unswept
a,0.0,0.75,unwashed,-1,मैला
a,0.25,0.75,dirty,-1,गंदा
a,0.0,0.75,confused,-1,उलझन में
a,0.0,0.75,inclement,-1,कठोर
a,0.0,0.75,stupid,-1,बेवकूफ
a,0.0,0.75,uncousinly,-1,uncousinly
a,0.0,0.75,fogbound,-1,fogbound
a,0.25,0.75,unpublishable,-1,unpublishable
a,0.0,0.875,comfortless,-1,असुविधाजनक
a,0.0,0.75,uncomfortable,-1,असुविधाजनक
a,0.0,0.75,uncommercial,-1,अव्यवसायिक
