POS,PosScore,NegScore,SynsetTerms,correct_label
a,0.75,0.0,direct,1
a,0.75,0.0,adoptable,1
a,0.75,0.125,unaffected,1
a,0.75,0.0,due,1
a,0.875,0.0,attractive,1
a,0.75,0.0,beautiful,1
a,0.75,0.0,gorgeous,1
a,0.75,0.0,picturesque,1
a,0.875,0.125,pretty,1
a,0.75,0.0,ravishing,1
a,0.75,0.0,stunning,1
a,0.75,0.0,beneficent,1
a,0.75,0.0,benefic,1
a,0.75,0.0,best,1
a,1.0,0.0,unsurpassable,1
a,0.875,0.0,better,1
a,0.75,0.0,finer,1
a,0.875,0.0,better,1
a,0.75,0.0,thorough,1
a,0.75,0.0,cautious,1
a,0.75,0.0,cheerful,1
a,0.75,0.0,intimate,1
a,0.75,0.0,competent,1
a,0.75,0.0,workmanlike,1
a,0.75,0.0,competent,1
a,0.75,0.0,full-blown,1
a,0.75,0.0,congenial,1
a,0.75,0.0,sociable,1
a,0.75,0.0,conspicuous,1
a,0.75,0.0,differentiable,1
a,0.75,0.125,constant,1
a,0.75,0.25,incorrupt,1
a,0.75,0.0,corn-fed,1
a,0.875,0.0,courteous,1
a,0.75,0.0,decorous,1
a,0.75,0.0,definite,1
a,0.75,0.125,importunate,1
a,0.75,0.0,plummy,1
a,0.875,0.0,discerning,1
a,0.75,0.0,good,1
a,0.75,0.0,incisive,1
a,0.75,0.0,metal-cutting,1
a,0.75,0.125,hot,0
a,0.875,0.0,bounden,1
a,0.875,0.0,disenchanted,1
a,0.75,0.0,exportable,1
a,0.75,0.0,enlightened,1
a,0.75,0.0,glowing,1
a,1.0,0.0,estimable,1
a,0.75,0.0,admirable,1
a,0.75,0.0,perfect,1
a,0.75,0.0,exchangeable,1
a,0.75,0.0,expendable,1
a,0.75,0.0,extricable,1
a,0.875,0.0,quaint,1
a,0.75,0.0,indulgent,1
a,0.75,0.0,fit,1
a,0.875,0.0,worthy,1
a,0.75,0.0,fortunate,1
a,0.75,0.0,lucky,1
a,0.75,0.125,fragrant,1
a,0.75,0.0,pleasant-smelling,1
a,0.75,0.0,good,1
a,0.75,0.0,goodish,1
a,0.875,0.0,solid,1
a,0.875,0.0,superb,1
a,1.0,0.0,good,1
a,0.875,0.0,goody-goody,1
a,0.75,0.0,white,0
a,0.75,0.0,good-natured,1
a,0.875,0.0,gainly,1
a,0.875,0.0,gracious,1
a,0.875,0.0,happy,1
a,0.75,0.0,harmonious,1
a,0.75,0.0,healthful,1
a,0.75,0.0,healthy,1
a,0.75,0.0,bouncing,1
a,0.875,0.0,firm,1
a,0.75,0.0,hearty,1
a,0.75,0.0,well-preserved,1
a,0.75,0.0,honest,1
a,0.75,0.0,laureate,1
a,0.875,0.0,amicable,1
a,0.75,0.0,droll,1
a,0.75,0.0,measurable,1
a,0.875,0.0,formidable,1
